100,0.379,0.193
200,1.376,0.687
300,2.97,1.362
400,5.439,2.876
500,8.816,2.227
600,13.292,2.165
700,18.17,3.771
800,24.878,4.105
900,32.021,2.892
1000,40.288,3.956
1100,49.179,3.194
1200,59.404,3.406
1300,70.908,3.918
1400,83.94,4.039
1500,97.761,5.649
1600,108.737,24.848
1700,126.343,28.059
1800,143.157,31.097
1900,162.997,33.218
2000,177.563,36.312
